TOP,Rr,CRv,HYDRO,WEAK,TECT,v_FR,v_LI,ZROBY,H,W,L,EXT,T,SRS,ENDO,CRFp,CRFm
54,8.9,1.0,0.0,0.5,0.6,20,20,63,1.15,8.0,1.8,2,7.0,1.0,1.9,0.8,0.9
54,8.9,1.0,0.0,0.5,0.6,20,20,49,1.15,8.0,1.8,2,7.0,1.0,1.7,0.8,0.9
4,9.4,0.0,0.3,0.0,0.0,20,20,21,1.15,7.0,1.8,0,7.0,1.0,1.9,0.425,0.5
5,5.7,0.0,1.0,0.0,0.0,5,5,50,1.11,7.0,1.8,0,5.0,0.5,0.0,0.4,0.5
5,7.1,0.0,0.0,0.0,0.0,5,5,90,1.11,7.0,1.8,0,5.0,0.25,0.0,0.4,0.5
5,5.8,0.0,0.0,0.0,0.0,5,5,90,1.11,7.0,1.8,0,4.5,0.25,0.0,0.425,0.5
5,5.5,0.0,0.0,0.5,0.5,5,5,130,1.11,7.0,1.8,4,4.5,0.5,0.9,0.425,0.9
5,8.8,0.0,0.0,0.0,0.0,5,5,120,1.11,7.0,1.8,0,6.0,0.25,0.0,0.45,0.3
5,10.2,0.0,1.0,0.0,0.5,5,5,20,1.11,7.0,1.8,1,6.0,0.25,0.0,0.45,0.3
5,8.4,0.0,1.0,0.0,0.5,5,5,50,1.11,7.0,1.8,0,6.0,0.5,0.0,0.6,0.3
5,6.3,0.0,0.0,0.0,0.0,5,5,120,1.11,7.0,1.8,0,6.0,0.25,0.0,0.6,0.3
5,11.0,1.0,1.0,0.0,0.5,5,5,120,1.11,7.0,1.8,2,2.0,0.25,1.8,0.8,0.9
5,7.9,1.0,1.0,0.5,0.5,5,5,64,1.11,10.0,1.8,2,2.0,1.0,1.5,0.8,0.9
5,10.2,1.0,1.0,0.5,1.0,5,5,90,1.11,7.0,1.8,0,2.0,0.25,1.3,0.85,0.7
5,10.3,1.0,0.0,0.5,0.0,5,5,64,1.11,7.0,1.8,0,2.0,0.25,1.3,0.85,0.7
5,10.3,1.0,0.0,0.0,1.0,5,5,90,1.11,8.0,1.8,1,2.0,0.5,2.0,0.8,0.9
5,10.7,1.0,0.0,0.0,1.0,5,5,160,1.11,6.5,1.8,3,0.5,0.25,2.0,0.8,0.7
5,7.2,0.0,0.0,0.5,0.5,5,5,110,1.11,7.0,1.8,4,5.0,1.0,0.0,0.6,0.5
4,9.31,1.0,0.0,0.5,0.0,15,15,49,1.11,7.0,1.8,0,1.0,0.0,0.0,0.45,0.5
4,9.31,0.0,0.0,0.5,0.0,15,15,21,1.11,7.0,1.8,0,3.0,0.0,0.0,0.45,0.5
4,9.31,0.0,0.0,0.5,0.0,15,15,21,1.11,7.0,1.8,0,3.0,0.0,0.0,0.45,0.5
4,9.31,0.0,0.0,0.5,0.0,15,15,63,1.11,7.0,1.8,0,1.0,0.0,0.0,0.45,0.5
4,9.31,0.0,0.0,0.5,0.0,15,15,49,1.11,7.0,1.8,0,1.0,0.0,1.0,0.6,0.5
4,9.31,1.0,0.0,0.5,0.0,15,15,21,1.11,7.0,1.8,0,3.0,0.0,0.5,0.6,0.5
4,9.31,0.0,0.0,0.5,0.0,15,15,21,1.11,7.0,1.8,0,3.0,0.0,0.0,0.45,0.5
4,8.59,0.0,0.0,0.0,0.0,15,15,35,1.11,7.0,1.8,0,2.0,0.0,0.5,0.6,0.5
4,8.59,0.0,0.0,0.0,0.0,15,15,35,1.11,7.0,1.8,0,3.0,0.0,0.3,0.6,0.5
4,8.59,1.0,0.0,0.0,0.0,15,15,21,1.11,7.0,1.8,0,3.0,0.0,0.0,0.45,0.5
4,10.8,1.0,0.0,0.0,0.0,15,15,21,1.11,7.0,1.8,0,3.0,0.0,0.5,0.6,0.5
4,10.8,1.0,0.0,0.0,0.0,15,15,21,1.11,7.0,1.8,0,3.0,0.0,0.0,0.45,0.5
